Periodo,IVF
ene-15,110.7
feb-15,96.5
mar-15,86.2
abr-15,97.3
may-15,123.1
jun-15,107.2
jul-15,91.4
ago-15,89.5
sep-15,85.8
oct-15,100.7
nov-15,132.4
dic-15,143.4
ene-16,105.4
feb-16,97.8
mar-16,87.5
abr-16,100.2
may-16,121.2
jun-16,130.8
jul-16,94
ago-16,87.7
sep-16,88.2
oct-16,105
nov-16,148.2726254
dic-16,154
ene-17,121.2
feb-17,102.1
mar-17,91.2
abr-17,105
may-17,125.3
jun-17,134.7
jul-17,94.8
ago-17,88.7
sep-17,91
oct-17,108.8
nov-17,152.8
dic-17,162
ene-18,126.5
feb-18,105.7
mar-18,101
abr-18,106.9
may-18,128.4
jun-18,130.5
jul-18,96.7
ago-18,90.5
sep-18,91.8
oct-18,106.1
nov-18,157.1
dic-18,164
ene-19,128
feb-19,109.4
mar-19,104
abr-19,109.5
may-19,129.8
jun-19,134
jul-19,102.8
ago-19,94.9
sep-19,95.6
oct-19,109.6
nov-19,149
dic-19,162.1
ene-20,129.1
feb-20,112
mar-20,106.4
abr-20,109.1
may-20,133.1
jun-20,130.4
jul-20,101.8
ago-20,95.9
sep-20,98
oct-20,112.8
nov-20,155.1
dic-20,164.8
ene-21,127.4
feb-21,111.1
mar-21,108.3
abr-21,109.8
may-21,137
jun-21,128.8
jul-21,105.1
ago-21,95.8
sep-21,100.1
oct-21,114.2
nov-21,163.1
dic-21,169.7
ene-22,129.5
feb-22,112.3
mar-22,110.3
abr-22,113.5
may-22,140.8
jun-22,127.8
jul-22,106.1
ago-22,96.3
sep-22,102.3
oct-22,118.1
nov-22,167.9
dic-22,175.9
ene-23,126.5
feb-23,115.8
mar-23,115.9
abr-23,114.7
may-23,137.8
jun-23,138.2
jul-23,112.4
ago-23,100.9
sep-23,105.1
oct-23,119.4
nov-23,158.5
dic-23,163.1
ene-24,96.8